date,per,roe,debt_equity,profit_margin,drop_from_high_pct,dividend_yield,source
2026-05-31,29.0,38.9,0.2,37.9,-6.9,0.2,yfinance
2026-06-01,29.0,38.9,0.2,37.9,-6.9,0.2,yfinance
2026-06-02,28.7,38.9,0.2,37.9,-7.9,0.2,yfinance
2026-06-03,27.6,38.9,0.2,37.9,-11.4,0.2,yfinance
2026-06-04,27.4,38.9,0.2,37.9,-12.1,0.2,yfinance
2026-06-05,28.4,38.9,0.2,37.9,-8.9,0.2,yfinance
2026-06-06,28.1,38.9,0.2,37.9,-9.8,0.2,yfinance
2026-06-07,28.1,38.9,0.2,37.9,-9.8,0.2,yfinance
2026-06-08,28.1,38.9,0.2,37.9,-9.8,0.2,yfinance
2026-06-09,27.7,38.9,0.2,37.9,-11.1,0.2,yfinance
2026-06-10,27.8,38.9,0.2,37.9,-10.9,0.2,yfinance
2026-06-11,27.2,38.9,0.2,37.9,-12.8,0.2,yfinance
2026-06-12,27.3,38.9,0.2,37.9,-12.4,0.2,yfinance
2026-06-13,27.5,38.9,0.2,37.9,-12.0,0.2,yfinance
2026-06-14,27.5,38.9,0.2,37.9,-12.0,0.2,yfinance
2026-06-15,27.5,38.9,0.2,37.9,-12.0,0.2,yfinance
2026-06-16,28.2,38.9,0.2,37.9,-9.6,0.2,yfinance
2026-06-17,28.5,38.9,0.2,37.9,-8.7,0.2,yfinance
2026-06-18,27.8,38.9,0.2,37.9,-11.0,0.2,yfinance
2026-06-19,28.1,38.9,0.2,37.9,-9.9,0.2,yfinance
2026-06-20,28.1,38.9,0.2,37.9,-9.9,0.2,yfinance
2026-06-21,28.1,38.9,0.2,37.9,-9.9,0.2,yfinance
2026-06-22,28.1,38.9,0.2,37.9,-9.9,0.2,yfinance
2026-06-23,26.7,38.9,0.2,37.9,-14.4,0.2,yfinance
2026-06-24,26.4,38.9,0.2,37.9,-15.3,0.2,yfinance
2026-06-25,26.3,38.9,0.2,37.9,-15.5,0.2,yfinance
2026-06-26,26.2,38.9,0.2,37.9,-15.9,0.2,yfinance
2026-06-27,25.8,38.9,0.2,37.9,-17.4,0.3,yfinance
2026-06-28,25.7,38.9,0.2,37.9,-17.4,0.3,yfinance
2026-06-29,25.7,38.9,0.2,37.9,-17.4,0.3,yfinance
