date,per,roe,debt_equity,profit_margin,drop_from_high_pct,dividend_yield,source
2026-05-31,24.8,43.4,1.25,27.8,-4.4,2.7,yfinance
2026-06-01,24.8,43.4,1.25,27.8,-4.4,2.7,yfinance
2026-06-02,24.7,43.4,1.25,27.8,-4.9,2.7,yfinance
2026-06-03,24.7,43.4,1.25,27.8,-5.1,2.7,yfinance
2026-06-04,24.8,43.4,1.25,27.8,-4.7,2.7,yfinance
2026-06-05,24.2,43.4,1.25,27.8,-7.1,2.7,yfinance
2026-06-06,25.0,43.4,1.25,27.8,-3.8,2.8,yfinance
2026-06-07,25.0,43.4,1.25,27.8,-3.8,2.7,yfinance
2026-06-08,25.0,43.4,1.25,27.8,-3.8,2.7,yfinance
2026-06-09,25.0,43.4,1.25,27.8,-3.8,2.7,yfinance
2026-06-10,25.6,43.4,1.25,27.8,-1.6,2.7,yfinance
2026-06-11,26.3,43.4,1.25,27.8,-0.3,2.6,yfinance
2026-06-12,26.0,43.4,1.25,27.8,-1.8,2.5,yfinance
