date,per,roe,debt_equity,profit_margin,drop_from_high_pct,dividend_yield,source
2026-05-31,23.0,,,31.6,-18.3,2.7,yfinance
2026-06-01,23.0,,,31.6,-18.3,2.7,yfinance
2026-06-02,22.8,,,31.6,-19.2,2.7,yfinance
2026-06-03,22.8,,,31.6,-19.1,2.7,yfinance
2026-06-04,22.5,,,31.6,-20.0,2.7,yfinance
2026-06-05,22.5,,,31.6,-20.2,2.7,yfinance
2026-06-06,23.1,,,31.6,-18.1,2.7,yfinance
2026-06-07,23.1,,,31.6,-18.1,2.7,yfinance
2026-06-08,23.1,,,31.6,-18.1,2.7,yfinance
2026-06-09,22.9,,,31.6,-18.7,2.7,yfinance
2026-06-10,23.2,,,31.6,-17.4,2.7,yfinance
