date,per,roe,debt_equity,profit_margin,drop_from_high_pct,dividend_yield,source
2026-05-31,32.4,114.3,0.07,63.0,-10.7,0.5,yfinance
2026-06-01,32.4,114.3,0.07,63.0,-10.7,0.5,yfinance
2026-06-02,34.4,114.3,0.07,63.0,-5.1,0.5,yfinance
2026-06-03,34.1,114.3,0.07,63.0,-5.8,0.5,yfinance
2026-06-04,32.9,114.3,0.07,63.0,-9.2,0.5,yfinance
2026-06-05,33.5,114.3,0.07,63.0,-7.6,0.5,yfinance
2026-06-06,31.4,114.3,0.07,63.0,-13.3,0.5,yfinance
2026-06-07,31.5,114.3,0.07,63.0,-13.3,0.5,yfinance
2026-06-08,31.5,114.3,0.07,63.0,-13.3,0.5,yfinance
2026-06-09,32.0,114.3,0.07,63.0,-11.8,0.5,yfinance
2026-06-10,31.9,114.3,0.07,63.0,-12.0,0.5,yfinance
2026-06-11,30.6,114.3,0.07,63.0,-15.3,0.5,yfinance
2026-06-12,31.4,114.3,0.07,63.0,-13.4,0.5,yfinance
2026-06-13,31.4,114.3,0.07,63.0,-13.3,0.5,yfinance
2026-06-14,31.4,114.3,0.07,63.0,-13.3,0.5,yfinance
2026-06-15,31.4,114.3,0.07,63.0,-13.3,0.5,yfinance
2026-06-16,32.5,114.3,0.07,63.0,-10.2,0.5,yfinance
2026-06-17,31.8,114.3,0.07,63.0,-12.3,0.5,yfinance
2026-06-18,31.3,114.3,0.07,63.0,-13.5,,yfinance
2026-06-19,32.3,114.3,0.07,63.0,-10.9,,yfinance
2026-06-20,32.3,114.3,0.07,63.0,-10.9,,yfinance
2026-06-21,32.3,114.3,0.07,63.0,-10.9,0.5,yfinance
2026-06-22,32.3,114.3,0.07,63.0,-10.9,0.5,yfinance
2026-06-23,32.0,114.3,0.07,63.0,-11.8,0.5,yfinance
2026-06-24,30.6,114.3,0.07,63.0,-15.4,0.5,yfinance
2026-06-25,30.5,114.3,0.07,63.0,-15.9,0.5,yfinance
2026-06-26,30.0,114.3,0.07,63.0,-17.2,0.5,yfinance
2026-06-27,29.4,114.3,0.07,63.0,-18.6,0.5,yfinance
2026-06-28,29.5,114.3,0.07,63.0,-18.6,0.5,yfinance
2026-06-29,29.5,114.3,0.07,63.0,-18.6,0.5,yfinance
2026-06-30,29.9,114.3,0.07,63.0,-17.6,0.5,yfinance
2026-07-01,30.6,114.3,0.07,63.0,-15.4,0.5,yfinance
2026-07-02,30.3,114.3,0.07,63.0,-16.5,0.5,yfinance
2026-07-03,29.9,114.3,0.07,63.0,-17.6,0.5,yfinance
2026-07-04,29.8,114.3,0.07,63.0,-17.6,0.5,yfinance
2026-07-05,29.8,114.3,0.07,63.0,-17.6,0.5,yfinance
2026-07-06,29.8,114.3,0.07,63.0,-17.6,0.5,yfinance
2026-07-07,29.9,114.3,0.07,63.0,-17.3,0.5,yfinance
2026-07-08,30.2,114.3,0.07,63.0,-16.7,0.5,yfinance
2026-07-15,32.4,114.3,0.07,63.0,-10.5,0.5,yfinance
2026-07-16,32.6,114.3,0.07,63.0,-10.2,0.5,yfinance
2026-07-17,31.8,114.3,0.07,63.0,-12.3,0.5,yfinance
2026-07-18,31.1,114.3,0.07,63.0,-14.3,0.5,yfinance
2026-07-19,31.1,114.3,0.07,63.0,-14.3,0.5,yfinance
2026-07-20,31.1,114.3,0.07,63.0,-14.3,0.5,yfinance
2026-07-21,31.1,114.3,0.07,63.0,-14.1,0.5,yfinance
2026-07-22,31.7,114.3,0.07,63.0,-12.4,0.5,yfinance
2026-07-23,32.5,114.3,0.07,63.0,-10.3,0.5,yfinance
2026-07-24,32.0,114.3,0.07,63.0,-11.7,0.5,yfinance
2026-07-27,31.6,114.3,0.07,63.0,-12.6,0.5,yfinance
2026-07-28,30.0,114.3,0.07,63.0,-16.9,0.5,yfinance
2026-07-29,30.2,114.3,0.07,63.0,-16.7,0.5,yfinance
2026-07-30,29.1,114.3,0.07,63.0,-19.7,0.5,yfinance
2026-07-31,29.8,114.3,0.07,63.0,-17.5,0.5,yfinance
2026-08-01,30.7,114.3,0.07,63.0,-15.1,0.5,yfinance
2026-08-02,30.8,114.3,0.07,63.0,-15.1,0.5,yfinance
2026-08-03,30.8,114.3,0.07,63.0,-15.1,0.5,yfinance
2026-08-04,31.7,114.3,0.07,63.0,-12.6,0.5,yfinance
2026-08-05,32.5,114.3,0.07,63.0,-10.4,0.5,yfinance
2026-08-06,33.6,114.3,0.07,63.0,-7.3,0.5,yfinance
2026-08-07,33.5,114.3,0.07,63.0,-7.4,,yfinance
2026-08-08,34.3,114.3,0.07,63.0,-5.3,0.5,yfinance
2026-08-09,34.2,114.3,0.07,63.0,-5.3,0.5,yfinance
2026-08-10,34.2,114.3,0.07,63.0,-5.3,0.5,yfinance
2026-08-11,33.3,114.3,0.07,63.0,-8.0,0.5,yfinance
2026-08-12,33.3,114.3,0.07,63.0,-8.0,0.5,yfinance
2026-08-13,34.4,114.3,0.07,63.0,-5.3,0.5,yfinance
2026-08-14,34.6,114.3,0.07,63.0,-4.8,0.5,yfinance
2026-08-15,34.5,114.3,0.07,63.0,-4.8,0.4,yfinance
2026-08-16,34.5,114.3,0.07,63.0,-4.8,0.4,yfinance
2026-08-17,34.5,114.3,0.07,63.0,-4.8,0.4,yfinance
2026-08-18,34.5,114.3,0.07,63.0,-4.9,0.4,yfinance
2026-08-19,33.7,114.3,0.07,63.0,-7.1,,yfinance
