date,per,roe,debt_equity,profit_margin,drop_from_high_pct,dividend_yield,source
2026-05-31,30.7,25.8,1.04,21.0,-5.5,1.3,yfinance
2026-06-01,30.7,25.8,1.04,21.0,-5.5,1.3,yfinance
2026-06-02,29.7,25.8,1.04,21.0,-8.4,1.3,yfinance
2026-06-03,30.9,25.8,1.04,21.0,-4.8,1.3,yfinance
2026-06-04,30.8,25.8,1.04,21.0,-5.3,1.2,yfinance
2026-06-05,30.8,25.8,1.04,21.0,-5.2,1.3,yfinance
2026-06-06,28.3,25.8,1.04,21.0,-12.9,1.3,yfinance
2026-06-07,28.3,25.8,1.04,21.0,-12.9,1.4,yfinance
2026-06-08,28.3,25.8,1.04,21.0,-12.9,1.4,yfinance
2026-06-09,28.8,25.8,1.04,21.0,-11.4,1.4,yfinance
2026-06-10,28.5,25.8,1.04,21.0,-12.5,1.4,yfinance
2026-06-11,27.3,25.8,1.04,21.0,-16.0,1.4,yfinance
2026-06-12,29.0,25.8,1.04,21.0,-11.0,1.4,yfinance
2026-06-13,29.1,25.8,1.04,21.0,-10.3,1.3,yfinance
2026-06-14,29.1,25.8,1.04,21.0,-10.3,1.3,yfinance
2026-06-15,29.1,25.8,1.04,21.0,-10.3,1.3,yfinance
2026-06-16,30.2,25.8,1.04,21.0,-7.1,1.3,yfinance
2026-06-17,29.0,25.8,1.04,21.0,-10.9,1.3,yfinance
2026-06-18,28.5,25.8,1.04,21.0,-12.3,1.3,yfinance
2026-06-19,30.0,25.8,1.04,21.0,-7.8,1.3,yfinance
2026-06-20,30.0,25.8,1.04,21.0,-7.8,1.3,yfinance
2026-06-21,29.9,25.8,1.04,21.0,-7.8,1.3,yfinance
2026-06-22,29.9,25.8,1.04,21.0,-7.8,1.3,yfinance
2026-06-23,30.9,25.8,1.04,21.0,-4.9,1.3,yfinance
