date,per,roe,debt_equity,profit_margin,drop_from_high_pct,dividend_yield,source
2026-05-31,50.2,2.8,0.73,18.9,-9.8,5.3,yfinance
2026-06-01,50.2,2.8,0.73,18.9,-9.8,5.3,yfinance
2026-06-02,48.8,2.8,0.73,18.9,-12.3,5.3,yfinance
2026-06-03,49.1,2.8,0.73,18.9,-11.8,5.5,yfinance
2026-06-04,49.0,2.8,0.73,18.9,-12.1,5.4,yfinance
2026-06-05,49.0,2.8,0.73,18.9,-12.1,5.4,yfinance
2026-06-06,49.9,2.8,0.73,18.9,-10.5,5.4,yfinance
2026-06-07,49.9,2.8,0.73,18.9,-10.5,5.3,yfinance
2026-06-08,49.9,2.8,0.73,18.9,-10.5,5.3,yfinance
2026-06-09,49.2,2.8,0.73,18.9,-11.7,5.3,yfinance
2026-06-10,50.2,2.8,0.73,18.9,-9.8,5.4,yfinance
2026-06-11,50.9,2.8,0.73,18.9,-8.6,5.3,yfinance
2026-06-12,50.7,2.8,0.73,18.9,-8.9,5.2,yfinance
2026-06-13,51.4,2.8,0.73,18.9,-7.7,5.2,yfinance
2026-06-14,51.4,2.8,0.73,18.9,-7.7,5.2,yfinance
2026-06-15,51.4,2.8,0.73,18.9,-7.7,5.2,yfinance
2026-06-16,50.9,2.8,0.73,18.9,-8.5,5.2,yfinance
2026-06-17,51.0,2.8,0.73,18.9,-8.5,5.2,yfinance
2026-06-18,49.6,2.8,0.73,18.9,-10.8,5.2,yfinance
2026-06-19,49.4,2.8,0.73,18.9,-11.3,5.2,yfinance
2026-06-20,49.4,2.8,0.73,18.9,-11.3,5.2,yfinance
2026-06-21,49.4,2.8,0.73,18.9,-11.3,5.4,yfinance
2026-06-22,49.4,2.8,0.73,18.9,-11.3,5.4,yfinance
2026-06-23,49.7,2.8,0.73,18.9,-10.8,5.4,yfinance
2026-06-24,50.4,2.8,0.73,18.9,-9.4,5.4,yfinance
2026-06-25,50.8,2.8,0.73,18.9,-8.8,5.3,yfinance
2026-06-26,50.9,2.8,0.73,18.9,-8.7,5.2,yfinance
2026-06-27,51.7,2.8,0.73,18.9,-7.1,5.2,yfinance
2026-06-28,51.7,2.8,0.73,18.9,-7.1,5.2,yfinance
2026-06-29,51.7,2.8,0.73,18.9,-7.1,5.2,yfinance
2026-06-30,51.7,2.8,0.73,18.9,-7.2,5.2,yfinance
2026-07-01,50.8,2.8,0.73,18.9,-8.8,5.2,yfinance
2026-07-02,50.7,2.8,0.73,18.9,-9.0,5.2,yfinance
2026-07-03,52.3,2.8,0.73,18.9,-6.0,5.3,yfinance
2026-07-04,52.3,2.8,0.73,18.9,-6.0,5.1,yfinance
2026-07-05,52.3,2.8,0.73,18.9,-6.0,5.1,yfinance
2026-07-06,52.3,2.8,0.73,18.9,-6.0,5.1,yfinance
2026-07-07,51.8,2.8,0.73,18.9,-7.0,5.1,yfinance
2026-07-08,52.5,2.8,0.73,18.9,-5.8,,yfinance
2026-07-15,52.3,2.8,0.73,18.9,-6.1,5.1,yfinance
2026-07-16,51.9,2.8,0.73,18.9,-6.9,5.1,yfinance
2026-07-17,53.9,2.8,0.73,18.9,-3.2,5.1,yfinance
2026-07-18,53.9,2.8,0.73,18.9,-3.3,5.0,yfinance
2026-07-19,53.9,2.8,0.73,18.9,-3.3,5.0,yfinance
2026-07-20,53.9,2.8,0.73,18.9,-3.3,5.0,yfinance
2026-07-21,53.4,2.8,0.73,18.9,-4.1,5.0,yfinance
2026-07-22,53.3,2.8,0.73,18.9,-4.3,5.0,yfinance
2026-07-23,53.3,2.8,0.73,18.9,-4.3,5.0,yfinance
2026-07-24,53.0,2.8,0.73,18.9,-4.7,5.0,yfinance
2026-07-27,53.8,2.8,0.73,18.9,-3.4,5.0,yfinance
2026-07-28,53.7,2.8,0.73,18.9,-3.6,5.0,yfinance
2026-07-29,53.9,2.8,0.73,18.9,-3.3,5.0,yfinance
2026-07-30,53.7,2.8,0.73,18.9,-3.5,5.0,yfinance
2026-07-31,52.8,2.8,0.73,18.9,-5.2,5.0,yfinance
2026-08-01,52.4,2.8,0.73,18.9,-6.0,5.0,yfinance
2026-08-02,52.4,2.8,0.73,18.9,-6.0,5.1,yfinance
2026-08-03,52.4,2.8,0.73,18.9,-6.0,5.1,yfinance
2026-08-04,52.0,2.8,0.73,18.9,-6.6,5.1,yfinance
2026-08-05,51.6,2.8,0.73,18.9,-7.4,5.1,yfinance
2026-08-06,51.4,2.8,0.73,18.9,-7.7,5.1,yfinance
2026-08-07,51.1,2.8,0.73,18.9,-8.2,5.1,yfinance
2026-08-08,45.6,3.2,0.73,20.9,-8.0,5.2,yfinance
2026-08-09,45.6,3.2,0.75,20.9,-8.0,5.2,yfinance
2026-08-10,45.6,3.2,0.75,20.9,-8.0,5.2,yfinance
2026-08-11,45.2,3.2,0.75,20.9,-8.9,5.2,yfinance
2026-08-12,45.2,3.2,0.75,20.9,-8.9,5.2,yfinance
2026-08-13,45.7,3.2,0.75,20.9,-7.9,5.2,yfinance
2026-08-14,45.9,3.2,0.75,20.9,-7.3,5.2,yfinance
2026-08-15,45.8,3.2,0.75,20.9,-7.7,5.2,yfinance
2026-08-16,45.8,3.2,0.75,20.9,-7.7,5.2,yfinance
2026-08-17,45.8,3.2,0.75,20.9,-7.7,5.2,yfinance
2026-08-18,45.5,3.2,0.75,20.9,-8.2,5.2,yfinance
2026-08-19,45.4,3.2,0.75,20.9,-8.4,5.2,yfinance
2026-08-20,45.9,3.2,0.75,20.9,-7.3,5.2,yfinance
2026-08-21,46.1,3.2,0.75,20.9,-7.0,5.2,yfinance
2026-08-22,45.7,3.2,0.75,20.9,-7.9,5.2,yfinance
