date,per,roe,debt_equity,profit_margin,drop_from_high_pct,dividend_yield,source
2026-05-31,76.5,4.1,0.42,22.4,-16.0,1.8,yfinance
2026-06-01,76.5,4.1,0.42,22.4,-16.0,1.8,yfinance
2026-06-02,79.6,4.1,0.42,22.4,-12.6,1.8,yfinance
2026-06-03,79.9,4.1,0.42,22.4,-12.4,1.8,yfinance
2026-06-04,80.6,4.1,0.42,22.4,-11.6,1.8,yfinance
2026-06-05,79.3,4.1,0.42,22.4,-13.0,1.7,yfinance
2026-06-06,76.9,4.1,0.42,22.4,-15.6,1.8,yfinance
2026-06-07,76.9,4.1,0.42,22.4,-15.6,1.8,yfinance
2026-06-08,76.9,4.1,0.42,22.4,-15.6,1.8,yfinance
2026-06-09,77.7,4.1,0.42,22.4,-14.8,1.8,yfinance
2026-06-10,76.4,4.1,0.42,22.4,-16.2,1.8,yfinance
2026-06-11,77.2,4.1,0.42,22.4,-15.3,1.8,yfinance
2026-06-12,75.0,4.1,0.42,22.4,-17.8,1.8,yfinance
2026-06-13,76.4,4.1,0.42,22.4,-16.2,1.9,yfinance
2026-06-14,76.4,4.1,0.42,22.4,-16.2,1.8,yfinance
2026-06-15,76.4,4.1,0.42,22.4,-16.2,1.8,yfinance
2026-06-16,73.6,4.1,0.42,22.4,-19.3,1.8,yfinance
2026-06-17,72.5,4.1,0.42,22.4,-20.4,1.9,yfinance
2026-06-18,71.7,4.1,0.42,22.4,-21.4,1.9,yfinance
2026-06-19,70.0,4.1,0.42,22.4,-23.2,1.9,yfinance
2026-06-20,70.0,4.1,0.42,22.4,-23.2,1.9,yfinance
2026-06-21,70.0,4.1,0.42,22.4,-23.2,2.0,yfinance
2026-06-22,70.0,4.1,0.42,22.4,-23.2,2.0,yfinance
2026-06-23,70.3,4.1,0.42,22.4,-22.9,2.0,yfinance
2026-06-24,70.6,4.1,0.42,22.4,-22.6,2.0,yfinance
2026-06-25,69.0,4.1,0.42,22.4,-24.3,2.0,yfinance
2026-06-26,69.2,4.1,0.42,22.4,-24.1,2.0,yfinance
2026-06-27,67.6,4.1,0.42,22.4,-25.9,2.0,yfinance
2026-06-28,67.6,4.1,0.42,22.4,-25.9,2.1,yfinance
2026-06-29,67.6,4.1,0.42,22.4,-25.9,2.1,yfinance
2026-06-30,66.3,4.1,0.42,22.4,-27.2,2.1,yfinance
2026-07-01,65.6,4.1,0.42,22.4,-28.0,2.1,yfinance
2026-07-02,64.8,4.1,0.42,22.4,-28.9,2.1,yfinance
2026-07-03,66.1,4.1,0.42,22.4,-27.5,2.2,yfinance
2026-07-04,66.1,4.1,0.42,22.4,-27.5,2.1,yfinance
2026-07-05,66.1,4.1,0.42,22.4,-27.5,2.1,yfinance
2026-07-06,66.1,4.1,0.42,22.4,-27.5,2.1,yfinance
2026-07-07,66.0,4.1,0.42,22.4,-27.6,2.1,yfinance
2026-07-08,69.8,4.1,0.42,22.4,-23.4,,yfinance
2026-07-15,73.7,4.1,0.42,22.4,-19.1,1.9,yfinance
2026-07-16,72.7,4.1,0.42,22.4,-20.3,1.9,yfinance
2026-07-17,72.5,4.1,0.42,22.4,-20.5,1.9,yfinance
2026-07-18,74.1,4.1,0.42,22.4,-18.7,1.9,yfinance
2026-07-19,74.1,4.1,0.42,22.4,-18.7,1.9,yfinance
2026-07-20,74.1,4.1,0.42,22.4,-18.7,1.9,yfinance
2026-07-21,74.6,4.1,0.42,22.4,-18.2,1.9,yfinance
2026-07-22,76.4,4.1,0.42,22.4,-16.2,1.9,yfinance
2026-07-23,76.7,4.1,0.42,22.4,-14.8,1.8,yfinance
2026-07-24,77.8,4.1,0.42,22.4,-14.6,1.8,yfinance
2026-07-27,77.4,4.1,0.42,22.4,-15.0,1.8,yfinance
2026-07-28,74.2,4.1,0.42,22.4,-18.6,1.8,yfinance
2026-07-29,72.9,4.1,0.42,22.4,-20.0,1.9,yfinance
2026-07-30,75.7,4.1,0.42,22.4,-16.9,1.9,yfinance
2026-07-31,75.6,4.1,0.42,22.4,-17.0,1.9,yfinance
2026-08-01,77.1,4.1,0.42,22.4,-15.4,1.9,yfinance
2026-08-02,77.1,4.1,0.42,22.4,-15.4,1.8,yfinance
2026-08-03,77.1,4.1,0.42,22.4,-15.4,1.8,yfinance
2026-08-04,75.0,4.1,0.42,22.4,-17.8,1.8,yfinance
